genotype_name,genotype_id,treatment,location,rep,R01_days_diff_raceme_start,R02_diff_in_mean_rate,R03_max_rate,R04_days_diff_to_max_rate,R05_days_diff_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,,,,,,,,,,,,,,
ABUKUMA_NATANE,BR017-213,tenminusfive,1,1,12.00159722,-71.21021884,-107.2241728,7.59954861,7.05930381,-3.221184252,1.725190655,-43.39280698,-74.79807531,-567,17.5176968,5.51609954,0,5.00159722,0,11,20,9,-6685,-6095,-2217.5,7,10,3,4,,,,,,,,,,,,,,
ABUKUMA_NATANE,BR017-213,tenminusfive,1,2,4.91974537,-10.70736474,-25.7655078,3.08068287,5.05169587,0.183320374,3.72952878,-12.0501004,-23.61297853,120,2.9990509,-1.92069444,0,-0.08025463,0,3,19,16,-4208,40160.5,-2358.344444,5,3,-2,-2,,,,,,,,,,,,,,
ABUKUMA_NATANE,BR017-213,tenminusfive,2,3,14.99216434,,,,,,,,,,,,0,7.99216434,0,18,,,,,,7,9,2,11,,,,,,,,,,,,,,
GROENE_GRONINGER_SNIJMOES,BR017-218,tenminusfive,1,1,1.00135417,-4.49866692,-17.6519806,3.01206018,-0.36383105,-0.436134675,-0.250668453,-2.0606453,-5.99201545,-85,0.0015625,-0.99979167,0,6.00135417,0,1,-1,-2,-3006,-49465,-2712.494047,-5,0,5,6,,,,,,,,,,,,,,
GROENE_GRONINGER_SNIJMOES,BR017-218,tenminusfive,1,2,3.00199074,-32.60630422,-53.2642351,2.10604166,3.76134787,0.404319417,2.119883093,-29.0246017,-35.32219563,-185,4.9245834,1.92259259,0,-3.99800926,0,5,-9,-14,-6652,-165133,-4272.428571,7,2,-5,-2,,,,,,,,,,,,,,
GROENE_GRONINGER_SNIJMOES,BR017-218,tenminusfive,2,3,-2.00854166,,,,,,,,,,,,1,-0.00854166,0,-1,,,,,,-2,-2,0,1,,,,,,,,,,,,,,
RAPID_CYCLING_RAPE_CrGC5,BR017-221,tenminusfive,1,1,,,,,,,,,,-496,,,0,,1,,-2,,-4399,,,,,,,,,,,,,,,,,,,,
RAPID_CYCLING_RAPE_CrGC5,BR017-221,tenminusfive,1,2,,,,,,,,,,-206,,,0,,1,,1,,-4968,,,-34,,,,,,,,,,,,,,,,,
RAPID_CYCLING_RAPE_CrGC5,BR017-221,tenminusfive,2,3,,,,,,,,,,-92,,,0,,1,,4,,-8300,,,-34,,,,,,,,,,,,,,,,,
SWU_Chinese_1,BR017-229,tenminusfive,1,1,-6.51856482,-38.08184835,-40.4519378,-5.69506945,7.07673669,-5.339960544,-1.16243591,-32.67974938,-39.84505826,-372,0.0015741,6.52013889,0,12.48143518,0,,-7,,-7175,,,-19,,,8,,,,,,,,,,,,,,
SWU_Chinese_1,BR017-229,tenminusfive,1,2,,,,,,,,,,-250,,,0,,0,-12,-2,,-20976,,,-21,-10,11,9,,,,,,,,,,,,,,
SWU_Chinese_1,BR017-229,tenminusfive,2,3,,,,,,,,,,,,,-1,,0,,,,,,,-21,-19,,,,,,,,,,,,,,,,
SWU_Chinese_2,BR017-230,tenminusfive,1,1,,,,,,,,,,31,,,-1,,1,-16,0,,-10010,,,-19,-19,,,,,,,,,,,,,,,,
SWU_Chinese_2,BR017-230,tenminusfive,1,2,,,,,,,,,,,,,-1,,1,-15,,,,,,,,,,,,,,,,,,,,,,,
SWU_Chinese_2,BR017-230,tenminusfive,2,3,-5.08564815,,,,,,,,,,,,-1,8.91435185,1,-15,,,,,,-14,-11,,,,,,,,,,,,,,,,
Zhouyou,BR017-237,tenminusfive,1,1,-10.99789352,-10.1102457,-28.95277346,-9.99893519,4.37770199,1.525827204,3.972395753,-18.36770986,-17.55885439,135,-6.6006018,4.39729167,0,,0,-13,-3,10,8197,120963.5,3811.861111,,-9,,,,,,,,,,,,,,,,
Zhouyou,BR017-237,tenminusfive,2,2,-9.00493055,-9.60839148,2.0620998,-12.99957176,5.01260075,1.348349591,5.967927653,-4.35809871,-27.75323459,160,-3.42834492,5.57658564,0,-2.00493055,0,-11,-2,9,3839,106779.5,1276.05515,-7,-12,,,,,,,,,,,,,,,,
Zhouyou,BR017-237,tenminusfive,2,3,-8.01916667,-19.00665397,-15.50451807,-7.96902777,6.19939841,1.407784092,4.918383747,-5.82502046,-24.44734335,149,-0.98964121,7.02952546,0,0.98083333,0,-14,0,14,-5353,44595,-7758.588235,-9,-12,,,,,,,,,,,,,,,,
STELLAR_DH,BR017-239,tenminusfive,1,1,,,,,,,,,,-192,,,0,,0,,,,,,,-14,,,,,,,,,,,,,,,,,
STELLAR_DH,BR017-239,tenminusfive,2,2,-11.11265046,-27.57315009,-52.34516223,-8.94952547,2.03423321,-0.392566032,2.31419835,-48.42965085,-38.25545187,-347,-14.01557866,-2.90292824,0,2.88734954,0,-15,-4,11,-9444,-25305,-5328.611905,-14,-14,0,-1,,,,,,,,,,,,,,
STELLAR_DH,BR017-239,tenminusfive,2,3,-8.99921296,-37.65134542,-82.57642835,-6.02046296,5.94268753,0.170026982,5.74436589,-60.2435182,-51.08634742,-263,-3.45570603,5.54350694,0,5.00078704,0,-11,0,11,-4955,-12314,-5620.420287,-14,-14,0,3,,,,,,,,,,,,,,
WESTAR_DH,BR017-240,tenminusfive,1,1,,,,,,,,,,285,,,0,,0,-11,-7,3,1890,,,,-12,,,,,,,,,,,,,,,,
WESTAR_DH,BR017-240,tenminusfive,2,2,,,,,,,,,,,,,-1,,0,-14,,,,,,,-14,,,,,,,,,,,,,,,,
WESTAR_DH,BR017-240,tenminusfive,2,3,,,,,,,,,,,,,-1,,0,-13,,,,,,,-9,,,,,,,,,,,,,,,,
MONTY-028DH,BR017-257,tenminusfive,1,1,,,,,,,,,,-334,,,0,,0,,4,,-19970,,,-22,-14,8,14,,,,,,,,,,,,,,
MONTY-028DH,BR017-257,tenminusfive,2,2,,,,,,,,,,,,,-1,,0,,,,,,,-22,-12,10,15,,,,,,,,,,,,,,
MONTY-028DH,BR017-257,tenminusfive,2,3,,,,,,,,,,13,,,0,,0,,-4,,4895,,,-26,-19,7,12,,,,,,,,,,,,,,
N01D-1330,BR017-258,tenminusfive,1,1,-9.16138889,-21.82436259,-38.49540845,-8.9984375,1.24319166,-0.989524838,1.475310259,-31.49616547,-38.57545395,-186,-18.71645833,-9.55506945,0,,0,-12,0,12,-3289,17900.5,-1063.7125,,-14,,,,,,,,,,,,,,,,
N01D-1330,BR017-258,tenminusfive,2,2,-9.04313658,-25.14381511,-40.40915522,-8.94952546,3.51919904,-0.340082026,2.213619145,-33.87656577,-31.86770845,-140,-14.01561344,-4.97247685,0,3.95686342,0,-12,-3,9,-5345,-16365,-5319.88636,-13,-9,4,1,,,,,,,,,,,,,,
N01D-1330,BR017-258,tenminusfive,2,3,-7.99712963,-24.68225556,-40.33591819,-9.00579861,4.28250687,0.304071935,2.867167237,-37.45774455,-29.65798193,-44,-2.97809027,5.01903935,0,3.00287037,0,-10,-3,7,-3337,7588.5,-2784.385294,-11,-9,2,1,,,,,,,,,,,,,,
ERGLU,BR017-263,tenminusfive,1,1,-10.79924768,,,,,,,,,,,,-1,,1,-16,,,,,,,-19,,,,,,,,,,,,,,,,
ERGLU,BR017-263,tenminusfive,2,2,-9.04305556,,,,,,,,,,,,-1,-0.04305556,1,-12,,,,,,-9,-11,-2,-3,,,,,,,,,,,,,,
ERGLU,BR017-263,tenminusfive,2,3,-7.99711805,-40.5206637,-75.55214896,-9.00578704,2.00376636,-0.98494666,1.179667589,-65.09740802,-50.9328608,-500,-6.4354051,1.56171296,0,5.00288195,1,-12,-2,10,-1145,-7780,-6127.875,-13,-11,2,1,,,,,,,,,,,,,,
Liho,BR017-271,tenminusfive,1,1,,,,,,,,,,-24,,,1,,0,,,,,,,-22,-19,3,10,,,,,,,,,,,,,,
Liho,BR017-271,tenminusfive,2,2,,,,,,,,,,-252,,,0,,0,,-5,5,-14550,-78907.5,-6617.330827,-17,-19,-2,7,,,,,,,,,,,,,,
Liho,BR017-271,tenminusfive,2,3,,,,,,,,,,-98,,,1,,0,,,,,,,-17,-19,-2,7,,,,,,,,,,,,,,
Bronowski,BR017-273,tenminusfive,1,1,-10.96298611,-44.9958953,-69.93028215,-7.6518287,3.68573219,-0.876681489,3.70801294,-79.50481499,-63.79388784,-525,-5.39537034,5.56761574,0,3.03701389,1,-16,-5,11,-1520,-30368.5,-5702.275,-14,-19,-5,-2,,,,,,,,,,,,,,
Bronowski,BR017-273,tenminusfive,2,2,-8.93847222,,,,,,,,,,,,-1,5.06152778,1,-11,,,,,,-14,-9,5,3,,,,,,,,,,,,,,
Bronowski,BR017-273,tenminusfive,2,3,-4.92443287,,,,,,,,,,,,-1,7.07556713,1,-8,,,,,,-12,-9,3,4,,,,,,,,,,,,,,
Ceska_Krajova,BR017-274,tenminusfive,1,1,-4.94677083,-37.67549025,-48.53097265,-6.98640046,2.2142908,-0.977945269,1.832574933,-37.51722131,-48.07751039,-198,-5.39503477,-0.44826389,0,9.05322917,0,-10,-1,9,-4316,22519,-5065.41071,-14,-12,2,4,,,,,,,,,,,,,,
Ceska_Krajova,BR017-274,tenminusfive,2,2,-5.00403935,,,,,,,,,,,,-1,6.99596065,0,-10,,,,,,-12,-12,0,2,,,,,,,,,,,,,,
Ceska_Krajova,BR017-274,tenminusfive,2,3,-6.07292824,-30.76347856,-63.13241914,-6.97819444,0.53776424,-0.727349127,0.387360584,-43.98310886,-39.46170485,-304,-5.46748845,0.60543981,0,2.92707176,0,-11,-5,6,2130,-9928.5,-4934.43333,-9,-10,-1,-2,,,,,,,,,,,,,,
Duplo,BR017-275,tenminusfive,1,1,-6.01041667,-45.46382159,-85.08796191,4.25525463,-1.24871728,-1.613049464,0.67171012,-93.69839217,-63.58879976,-705,-12.21562499,-6.20520834,0,,0,-12,2,14,-7790,966,-7911.55556,,-16,,,,,,,,,,,,,,,,
Duplo,BR017-275,tenminusfive,2,2,-5.04545139,-35.92819919,-75.02498113,-6.99420139,-0.27475464,-1.189013419,-0.16500894,-59.3337519,-44.36277524,-514,-4.99844908,0.04700232,0,6.95454861,0,-10,-1,9,-4750,13216.5,-6327.277782,-12,-11,1,2,,,,,,,,,,,,,,
Duplo,BR017-275,tenminusfive,2,3,-5.03086806,-30.3407716,-106.078805,-3.99194445,-3.16179797,-2.457326458,-1.783157715,-44.31430212,-40.9566874,-656,1.4411227,6.47199074,0,3.96913194,0,-11,0,11,-12025,-67134,-9679.545455,-9,-9,0,-2,,,,,,,,,,,,,,
Topas,BR017-283,tenminusfive,1,1,,,,,,,,,,-165,,,0,,0,-13,-6,6,1339,,,-26,-14,12,13,,,,,,,,,,,,,,
Topas,BR017-283,tenminusfive,2,2,,,,,,,,,,-441,,,0,,0,-13,-6,6,-8377,,,-22,-14,8,9,,,,,,,,,,,,,,
Topas,BR017-283,tenminusfive,2,3,,,,,,,,,,,,,,,,,,,,,,-29,,,,,,,,,,,,,,,,,
HUGUENOT,BR017-410,tenminusfive,1,1,12.0024537,-9.74633775,-54.9099596,9.74655091,-0.32340403,-0.411317336,0.55780764,-16.73957076,-19.62922341,-145,8.4339467,-3.56850694,0,5.0024537,0,12,18,6,-5284,622.5,-2773.922223,7,9,2,5,,,,,,,,,,,,,,
HUGUENOT,BR017-410,tenminusfive,2,2,10.02300926,-23.7849661,-37.1783887,10.90120371,3.16190852,-0.255163257,1.780286124,-14.530264,-28.91477827,-120,11.3813194,1.35831018,0,0.02300926,0,9,18,9,-4814,11321.5,-1772.791666,10,5,-5,-1,,,,,,,,,,,,,,
HUGUENOT,BR017-410,tenminusfive,2,3,6.09173611,-15.22009306,1.4190992,3.93357638,1.21852201,0.541593587,1.075842362,-22.50886566,-20.32576885,-159,2.7817477,-3.30998843,0,-0.90826389,0,2,4,2,-4753,-56622,-5565.006993,7,7,0,-5,,,,,,,,,,,,,,
Wilhelmsburger,BR017-448,tenminusfive,1,1,,,,,,,,,,,,,-1,,0,,,,,,,,,,,,,,,,,,,,,,,,
Wilhelmsburger,BR017-448,tenminusfive,2,2,-10.95810185,-47.32496799,-67.5529855,-15.9677199,5.44603551,-0.458948142,2.962431693,-28.29064632,-48.97814887,-362,-3.4510649,7.50703704,0,10.04189815,0,-15,-7,8,-2247,23171.5,-1186.472222,-21,-16,5,6,,,,,,,,,,,,,,
Wilhelmsburger,BR017-448,tenminusfive,2,3,-0.9733912,-7.4453631,-40.39708532,-0.90201389,-3.56524316,-1.602825991,-1.55260659,-17.35584035,-16.13311376,-284,-4.6056945,-3.63230324,0,8.0266088,0,-3,4,7,-3375,14634.5,-1942.461806,-9,-4,5,6,,,,,,,,,,,,,,
Cabernet,BR017-509,tenminusfive,1,1,11.99082173,,,,,,,,,,,,1,2.99082173,0,,,,,,,9,11,2,,,,,,,,,,,,,,,
Cabernet,BR017-509,tenminusfive,2,2,7.95785879,-11.87050279,-26.86829775,7.96001155,0.00725794,-0.888853742,0.36496467,-11.31101258,-16.51937065,-274,2.9225463,-5.0353125,0,0.95785879,0,9,6,-3,-3180,-61420.5,-2334.458182,7,9,2,2,,,,,,,,,,,,,,
Cabernet,BR017-509,tenminusfive,2,3,,,,,,,,,,,,,0,,0,,1,19,-331,25358,90.363636,,,-3,-2,,,,,,,,,,,,,,
Cabriolet,BR017-510,tenminusfive,1,1,2.00072916,-17.56371306,12.6182939,3.39890046,2.7674367,0.832295574,1.699960662,-22.2730173,-19.65724555,-148,3.8157523,1.81502315,0,-2.99927084,0,5,11,6,2,58565.5,1505.236263,5,2,-3,0,,,,,,,,,,,,,,
Cabriolet,BR017-510,tenminusfive,2,2,3.0015625,,,,,,,,,,,,1,1.0015625,0,3,,,,,,2,9,7,1,,,,,,,,,,,,,,
Cabriolet,BR017-510,tenminusfive,2,3,2.01173611,-16.21342574,-47.606939,1.9575,-1.30710302,-0.664483361,-0.79178317,-25.3769801,-22.08422713,-357,0.0015857,-2.01015046,0,2.01173611,0,3,8,5,-3624,1613.5,-2398.39881,0,2,2,3,,,,,,,,,,,,,,
Castille,BR017-511,tenminusfive,1,1,-5.23268518,-13.40546365,-38.96985542,-3.98623843,8.43349342,1.672280513,4.932325782,-22.74835196,-26.58222812,109,-0.3929398,4.83974537,0,6.76731482,0,-6,-11,-5,-3109,-49425,-1128.058036,-12,-7,5,6,,,,,,,,,,,,,,
Castille,BR017-511,tenminusfive,2,2,,,,,,,,,,,,,,,0,,,,,,,-13,,,,,,,,,,,,,,,,,
Castille,BR017-511,tenminusfive,2,3,-2.99182871,-18.24672665,-36.82490153,-3.97229166,2.32693657,-0.253525244,0.98975325,-19.31866595,-19.79912101,-147,0.0015741,2.99340278,0,6.00817129,0,-6,0,6,1298,36948,-513.73125,-9,-7,2,3,,,,,,,,,,,,,,
Catana,BR017-512,tenminusfive,1,1,-2.16069445,,,,,,,,,,,,-1,0.83930555,0,-5,,,,,,-3,-5,-2,-2,,,,,,,,,,,,,,
Catana,BR017-512,tenminusfive,2,2,-3.01070602,-11.4945254,-60.3097335,-3.99138889,-1.27190735,-0.399619837,-0.634109634,-25.64002725,-16.91936805,-282,-2.9157871,0.09491898,0,-1.01070602,0,-6,2,8,1665,54000,-546.857143,-2,-7,-5,-4,,,,,,,,,,,,,,
Catana,BR017-512,tenminusfive,2,3,-0.99118056,-14.52991534,-20.7966749,-2.09787037,0.6355583,-0.614651263,-0.11774687,-9.1700996,-14.50824701,-161,0.0015741,0.99275463,0,1.00881944,0,-3,2,5,8800,61677.5,2867.916667,-2,-5,-3,-1,,,,,,,,,,,,,,
Chuanyou_2,BR017-513,tenminusfive,1,1,-9.28391204,-22.99496838,-54.7257413,-9.96746528,5.06986629,-0.040484536,4.432226803,0.09569733,-31.14452956,14,1.45657408,10.74048611,-1,,0,-15,-7,8,-3080,-12352.5,-3576.25,,-16,,,,,,,,,,,,,,,,
Chuanyou_2,BR017-513,tenminusfive,2,2,-10.01305556,-13.09966351,-0.6744696,-10.95988426,4.28863244,0.78633764,3.375520447,-10.454833,-19.56745524,181,-8.87409718,1.13895834,-1,-3.01305556,0,-12,-4,8,3352,57211.5,-1308.21875,-7,-14,,,,,,,,,,,,,,,,
Chuanyou_2,BR017-513,tenminusfive,2,3,-10.99767361,,,,,,,,,,,,-1,-1.99767361,0,-11,,,,,,-9,-14,,,,,,,,,,,,,,,,
Dimension,BR017-514,tenminusfive,1,1,,,,,,,,,,,,,-1,,0,7,,,,,,9,7,-2,-2,,,,,,,,,,,,,,
Dimension,BR017-514,tenminusfive,2,2,1.1028125,,,,,,,,,,,,-1,-1.8971875,0,1,,,,,,3,2,-1,-2,,,,,,,,,,,,,,
Dimension,BR017-514,tenminusfive,2,3,3.39873842,,,,,,,,,,,,0,-1.60126158,0,5,,,,,,5,7,2,0,,,,,,,,,,,,,,
Excalibur,BR017-515,tenminusfive,1,1,0.00157407,,,,,,,,,,,,-1,0.00157407,0,-2,,,,,,0,0,0,-2,,,,,,,,,,,,,,
Excalibur,BR017-515,tenminusfive,2,2,3.99611112,,,,,,,,,,,,-1,1.99611112,0,3,,,,,,2,2,0,1,,,,,,,,,,,,,,
Excalibur,BR017-515,tenminusfive,2,3,-2.00524305,,,,,,,,,,,,-1,2.99475695,0,-3,,,,,,-5,-5,0,2,,,,,,,,,,,,,,
Flash,BR017-516,tenminusfive,1,1,-4.81663194,,,,,,,,,,,,-1,9.18336806,0,-5,,,,,,-14,-7,7,9,,,,,,,,,,,,,,
Flash,BR017-516,tenminusfive,2,2,3.00193287,,,,,,,,,,,,0,-0.99806713,0,3,,,,,,4,0,-4,-1,,,,,,,,,,,,,,
Flash,BR017-516,tenminusfive,2,3,2.01131944,,,,,,,,,,,,0,2.01131944,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,
Huron_x_Navajo,BR017-517,tenminusfive,1,1,2.01210648,-19.49104324,-44.7944365,4.46026621,1.84102671,0.877875653,2.10547855,-32.33972106,-29.09581165,-176,0.0015741,-2.01053241,0,0.01210648,0,4,8,4,-1669,-2448.5,-1023.697917,2,5,3,2,,,,,,,,,,,,,,
Huron_x_Navajo,BR017-517,tenminusfive,2,2,5.03211806,,,,,,,,,,,,-1,-1.96788194,0,6,,,,,,7,10,3,-1,,,,,,,,,,,,,,
Huron_x_Navajo,BR017-517,tenminusfive,2,3,2.46368056,-36.49231944,-24.2686803,5.10765047,5.37840235,1.861016597,3.25124158,-49.34226661,-38.61295515,-205,11.9428935,9.47921297,0,-4.53631944,0,5,7,2,-4755,-28817,-2758.922619,7,4,-3,-2,,,,,,,,,,,,,,
Inca_x_Contact,BR017-518,tenminusfive,1,1,3.01216435,-8.70063695,-48.451692,4.99097223,-0.48528796,-0.656944003,-0.08217004,-8.086031,-14.00786769,-163,0.3960764,-2.61608796,0,-1.98783565,0,4,6,2,-3283,-11083,-1585.080357,5,2,-3,-1,,,,,,,,,,,,,,
Inca_x_Contact,BR017-518,tenminusfive,2,2,1.99115741,-10.25946786,-34.0757537,2.94416666,-0.38794242,0.060600232,0.115888409,-31.7059404,-18.20110101,-141,0.0015741,-1.98958333,0,-3.00884259,0,2,5,3,-2086,30021.5,287.433333,5,2,-3,-3,,,,,,,,,,,,,,
Inca_x_Contact,BR017-518,tenminusfive,2,3,2.05854166,,,,,,,,,,,,-1,-2.94145834,0,3,,,,,,5,4,-1,-2,,,,,,,,,,,,,,
Ningyou_7,BR017-520,tenminusfive,1,1,-3.21225695,,,,,,,,,,,,0,9.78774305,0,-9,,,,,,-13,-9,,,,,,,,,,,,,,,,
Ningyou_7,BR017-520,tenminusfive,2,2,-10.99834491,,,,,,,,,,,,0,0.00165509,0,-14,,,,,,-11,-16,,,,,,,,,,,,,,,,
Ningyou_7,BR017-520,tenminusfive,2,3,-5.99114584,-27.17351107,26.5506452,-6.99278935,6.414482,0.983617238,3.136659117,-10.43488742,-22.13755759,-80,6.0485995,12.03974537,0,5.00885416,0,-12,-3,9,1666,55733,-5515.916667,-11,-9,,,,,,,,,,,,,,,,
Palmedor,BR017-521,tenminusfive,1,1,0.00157408,-7.12019205,8.1106696,1.00149305,-0.28200862,-0.17688512,0.05882688,-13.2816646,-11.43514938,-152,0.0015741,0,0,2.00157408,0,-2,0,2,-2914,-28573,-3199.696429,-2,0,2,0,,,,,,,,,,,,,,
Palmedor,BR017-521,tenminusfive,2,2,3.00646991,-9.82467648,11.3220198,4.00153935,2.23813447,-0.065986695,1.486599342,0.9319979,-12.65221101,60,1.1735301,-1.83293982,0,3.00646991,0,2,4,2,-4440,-8941.5,-1935.409091,0,0,0,2,,,,,,,,,,,,,,
Palmedor,BR017-521,tenminusfive,2,3,1.89936343,-16.92725276,-38.7976836,2.01171296,-1.44448233,-1.010955902,-0.621302194,-27.29751759,-26.64411007,-334,-4.605949,-6.5053125,0,4.89936343,0,0,3,3,-1692,12508.5,-325.166667,-3,0,3,3,,,,,,,,,,,,,,
POH_285_Bolko,BR017-522,tenminusfive,1,1,11.99079862,-15.57807796,-46.43541922,15.26107638,4.75363346,4.078368098,5.10952511,-31.48760978,-22.73312567,0,16.4738889,4.48309028,0,-4.00920138,0,15,16,1,-198,-6364.5,-616.952206,16,14,-2,-1,,,,,,,,,,,,,,
POH_285_Bolko,BR017-522,tenminusfive,2,2,9.01270834,2.57234128,-32.0088243,5.0021875,-7.674755214,-4.2374049,-6.27035219,14.46347732,4.73502174,-675,0.0015625,-9.011145833,0,2.01270834,0,5,5,0,-3802,-18813,-2687.571429,7,2,-5,-2,,,,,,,,,,,,,,
POH_285_Bolko,BR017-522,tenminusfive,2,3,14.00248843,1.38777644,-20.23231517,16.2523032,-2.84016733,-0.968637969,-1.54239373,-6.06674684,-3.13219053,-179,9.162662,-4.83982639,0,3.00248843,0,13,9,-4,-4274,-57208.5,-2708.020362,11,14,3,2,,,,,,,,,,,,,,
Quinta,BR017-523,tenminusfive,1,1,12.00247685,-10.18635153,-51.9470133,13.00087964,-5.352571694,-2.260856786,-3.49798151,-40.06241193,-20.96542446,-496,3.8169907,-8.18548611,0,1.00247685,1,9,0,-9,-7015,-81582,-3612.595588,11,7,-4,-2,,,,,,,,,,,,,,
Quinta,BR017-523,tenminusfive,2,2,7.00179398,4.06726895,13.3918973,9.01263889,0.22496139,0.768637546,0.49554978,-9.0123223,2.6839654,129,0.0015741,-7.00021991,0,0.00179398,1,9,20,11,-4497,14453.5,-1637.688095,7,9,2,2,,,,,,,,,,,,,,
Quinta,BR017-523,tenminusfive,2,3,7.02829861,-18.03903445,-27.0881069,9.00266204,-0.76154933,0.692692938,-0.618081251,-56.59155517,-21.63164623,-303,4.6088542,-2.41944444,0,-4.97170139,1,5,1,-4,-8620,-55001,-5701.977778,12,7,-5,-7,,,,,,,,,,,,,,
Rocket,BR017-524,tenminusfive,1,1,8.00157407,,,,,,,,,,,,-1,1.00157407,0,7,,,,,,7,7,0,0,,,,,,,,,,,,,,
Rocket,BR017-524,tenminusfive,2,2,5.03207176,-24.43830664,-35.4188369,7.00226852,6.9252066,3.032496808,4.46148309,-48.47879031,-26.98009639,121,11.2013658,6.16929398,0,-1.96792824,0,6,11,5,-5920,468,-2040.75,7,4,-3,-1,,,,,,,,,,,,,,
Rocket,BR017-524,tenminusfive,2,3,7.56980324,-11.08612016,-34.9368141,8.5306713,3.49632543,1.45166392,3.46096903,-22.85249507,-20.26941284,83,8.233912,0.66410879,0,-1.43019676,0,7,13,6,-6895,5598,-2746.916666,9,4,-5,-2,,,,,,,,,,,,,,
Shengliyoucai,BR017-526,tenminusfive,1,1,,,,,,,,,,-156,,,0,,0,-15,0,14,-8646,,,-14,-16,-2,-1,,,,,,,,,,,,,,
Shengliyoucai,BR017-526,tenminusfive,2,2,,,,,,,,,,,,,-1,,0,-13,,,,,,-12,-11,1,-1,,,,,,,,,,,,,,
Shengliyoucai,BR017-526,tenminusfive,2,3,,,,,,,,,,-115,,,0,,0,-8,0,7,-8710,,,-12,-12,0,4,,,,,,,,,,,,,,
Temple,BR017-527,tenminusfive,1,1,2.00222222,-7.00895361,-31.2881062,3.40013889,1.45215137,1.946624825,3.27627509,-47.45247288,-26.95017045,-97,0.0003241,-2.00189815,0,-0.99777778,0,5,6,1,-6335,-24014,-2453.035256,3,2,-1,2,,,,,,,,,,,,,,
Temple,BR017-527,tenminusfive,2,2,8.11384259,-38.31653588,-31.7498987,9.03201389,15.87826792,2.465068812,10.30569749,-42.9065638,-50.83485295,69,19.7861227,11.67228009,0,1.11384259,0,7,27,20,-9917,-38585,-7190.390625,7,9,2,0,,,,,,,,,,,,,,
Temple,BR017-527,tenminusfive,2,3,2.05850694,-3.65831436,-35.5039494,4.97121527,-0.26343629,0.492924475,1.1445898,-17.11825363,-12.61452907,-166,-0.0010648,-2.05957176,0,-2.94149306,0,3,7,4,-4318,-15598,-2592.645614,5,2,-3,-2,,,,,,,,,,,,,,
Vision,BR017-528,tenminusfive,1,1,12.00199074,-26.18443119,-47.13029903,10.45957176,3.28796236,-1.185143221,3.99455161,-26.4296872,-39.24695065,-304,8.9567824,-3.04520834,0,5.00199074,0,15,19,4,-4550,-15285.5,-2996.05,7,11,4,8,,,,,,,,,,,,,,
Vision,BR017-528,tenminusfive,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vision,BR017-528,tenminusfive,2,3,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Xiangyou_15,BR017-529,tenminusfive,1,1,-7.74658565,,,,,,,,,,,,0,-0.74658565,1,-13,,,,,,-7,-19,,,,,,,,,,,,,,,,
Xiangyou_15,BR017-529,tenminusfive,2,2,-3.98319444,12.25348338,-12.1295074,-5.03184028,-6.84831863,-0.358531936,0.9825908,-15.1142079,-22.99300602,-217,-10.04734959,-6.06415509,0,-1.98319444,1,-5,0,5,3577,50102.5,843.266667,-2,-7,-5,-3,,,,,,,,,,,,,,
Xiangyou_15,BR017-529,tenminusfive,2,3,-3.01266203,-28.61895866,-90.4064548,-4.0243287,0.31569556,-1.953446208,0.44280174,-15.23448557,-35.69998825,-375,-8.03561338,-5.02295139,0,5.98733797,1,-2,0,2,-4347,798.5,-1675.916667,-9,-7,2,7,,,,,,,,,,,,,,
Zhongshuang_II,BR017-530,tenminusfive,1,1,-5.99966436,-1.37770468,-23.27666743,-7.6520949,-0.37529546,-0.119324914,0.446913386,-9.5284963,-7.4850897,13,-5.2706134,0.72905092,-1,1.00033564,1,-13,-9,4,590,22430.5,-856.405982,-7,-21,,,,,,,,,,,,,,,,
Zhongshuang_II,BR017-530,tenminusfive,2,2,-6.00662037,-5.5773585,-5.39810824,-11.94940972,2.54174744,-0.424230096,2.114147384,28.40040515,-5.13850579,-34,0.00157407,6.00819444,-1,0.99337963,1,-12,-6,6,705,15677,-2518.956044,-7,-14,,,,,,,,,,,,,,,,
Zhongshuang_II,BR017-530,tenminusfive,2,3,-7.12321759,1.83769796,39.28250799,-6.99278935,2.03987203,1.510817943,1.949295563,5.84022131,0.79242118,72,-7.43936346,-0.31614584,0,-0.12321759,1,-13,-6,7,-845,16652.5,-4732.522727,-7,-14,,,,,,,,,,,,,,,,
Darmor_ET,BR017-531,tenminusfive,1,1,0.00157407,0.67005877,43.0034841,0.00158565,1.78153176,1.678826757,2.77984294,-6.5889648,-6.29057001,80,0.0039237,0.00234954,0,-1.99842593,0,2,-15,-17,-1076,-91991.5,-557.443453,2,2,0,0,,,,,,,,,,,,,,
