genotype_name,genotype_id,treatment,location,rep,R01_days_diff_raceme_start,R02_diff_in_mean_rate,R03_max_rate,R04_days_diff_to_max_rate,R05_days_diff_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,,,,,,,,,,,,,,
MADRIGAL_x_RECITAL_DH_LINE,BR017-097,tenminusfive,1,2,2.00229167,-18.36003481,4.2781635,3.01177084,2.85973795,-0.1972264,0.849708848,4.5701606,-10.24447104,-34,4.9246296,2.92233797,0,0.00229167,0,0,0,0,-5426,-31960,-4565.714284,2,2,0,-2,,,,,,,,,,,,,,
MADRIGAL_x_RECITAL_DH_LINE,BR017-097,tenminusfive,2,3,0.99578704,-14.31032968,-5.4900779,0.99238426,1.35315331,-0.160631474,0.48021733,-9.156863,-12.23391223,-32,4.8927777,3.89699074,0,0.99578704,0,0,0,0,77,-9606,-1200.75,0,0,0,0,,,,,,,,,,,,,,
RAFAL_DH1,BR017-098,tenminusfive,1,1,0.00158565,-2.97700815,-20.9018029,0.00157407,1.12192965,0.877629444,1.59993938,-9.35766581,-9.43290558,0,0.0015857,0,0,0.00158565,0,0,0,0,-7321,-29156.5,-4165.214283,0,0,0,0,,,,,,,,,,,,,,
RAFAL_DH1,BR017-098,tenminusfive,1,2,0.00157407,-11.88799115,-44.0367515,2.88679398,4.93447894,3.170304365,4.231236363,-30.98282869,-16.9582202,164,0.0015741,0,0,0.00157407,0,3,1,-2,-2468,-22287,-816.587301,0,3,3,3,,,,,,,,,,,,,,
RAFAL_DH1,BR017-098,tenminusfive,2,3,0.00032408,-9.42453309,4.8583543,0.00032408,-0.15728046,-0.343813756,-0.61110813,-6.5731631,-5.4807348,-172,1.156007,1.15568287,0,0.00032408,0,0,-1,-1,-2913,-18953,-855.47917,0,0,0,0,,,,,,,,,,,,,,
EUROL,BR017-101,tenminusfive,1,1,3.68623842,-8.08391884,26.5510326,4.31707176,1.08115324,0.347428665,2.9007386,-13.29756598,-22.16410389,0,8.4014814,4.71524306,0,-0.31376158,0,3,0,-3,-2277,-53679,-2890.586538,4,5,1,-1,,,,,,,,,,,,,,
EUROL,BR017-101,tenminusfive,1,2,1.91113426,-9.30548543,45.4893435,2.97443287,2.83662785,0.417206603,2.00278088,-2.34331428,-9.82623175,0,-0.0130209,-1.92415509,0,1.91113426,0,1,9,8,-1658,18020.5,-969.452381,0,2,2,1,,,,,,,,,,,,,,
EUROL,BR017-101,tenminusfive,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesira,BR017-102,tenminusfive,1,1,0.00157407,,,,,,,,,,,,0,0.00157407,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,
Lesira,BR017-102,tenminusfive,1,2,0.00158565,12.64572115,-11.9350754,0.00157407,-4.3869037,-0.076085005,-5.06804177,9.9090435,26.80946792,78,0.0015741,-1.157E-05,0,-4.99841435,0,2,0,-2,4904,24556.5,1734.08396,5,0,-5,-3,,,,,,,,,,,,,,
