genotype_name,genotype_id,treatment,location,rep,R01_days_diff_raceme_start,R02_ratio_mean_rate,R03_max_rate,R04_days_diff_to_max_rate,R05_days_diff_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,,,,,,,,,,,,
MADRIGAL_x_RECITAL_DH_LINE,BR017-097,tenvsfive,1,1,1.011767402,0.883627768,0.89064027,1.083306415,1.108249665,1.070140562,1.087558164,0.889997951,0.895323363,1,1.168077808,1.322821756,,1.466107445,,1.038461538,1.352941176,2.222222222,0.790481438,2.08335456,0.937509552,1,1,1,1.166666667,,,,,,,,,,,,
MADRIGAL_x_RECITAL_DH_LINE,BR017-097,tenvsfive,1,2,1.023717106,0.810197942,1.028921566,1.128572636,1.215426922,0.954548841,1.090087669,1.036155546,0.904164569,0.981511691,1.118330082,1.144714723,,1.001609379,,1,1,1,0.674407441,0.585779644,0.585779644,1.1,1.08,1,0.666666667,,,,,,,,,,,,
MADRIGAL_x_RECITAL_DH_LINE,BR017-097,tenvsfive,2,3,1.012018093,0.858200696,0.966095501,1.043408836,1.099817044,0.967036471,1.049071093,0.929452255,0.89038868,0.982599239,1.129258207,1.216554627,,-5.979476022,,1,1,1,1.00555075,0.850388979,0.850388979,1,1,1,1,,,,,,,,,,,,
RAFAL_DH1,BR017-098,tenvsfive,1,1,1.0000182,0.960956389,0.882556436,1.000056601,1.063978166,1.152852987,1.142374394,0.910675796,0.900115196,1,1.000033649,1,,0.998187685,,1,1,1,0.637879013,0.676723158,0.676723158,1,1,1,1,,,,,,,,,,,,
RAFAL_DH1,BR017-098,tenvsfive,1,2,1.000018,0.859280729,0.718314814,1.101062207,1.369856918,1.746329698,1.45561385,0.73002927,0.822497436,1.102564103,1.000033804,1,,0.997140462,,1.107142857,1.027777778,0.777777778,0.813679601,0.70112245,0.901443151,1,1.103448276,1.75,2,,,,,,,,,,,,
RAFAL_DH1,BR017-098,tenvsfive,2,3,1.000003732,0.902707338,1.03164557,1.000012529,0.98842381,0.91759903,0.934202523,0.952754211,0.951066094,0.906470908,1.027053793,1.061173765,,0.999721069,,1,0.972222222,0.888888889,0.847614564,0.826091345,0.929352763,1,1,1,1,,,,,,,,,,,,
EUROL,BR017-101,tenvsfive,1,1,1.042308199,0.898098949,1.211698536,1.155218297,1.064726464,1.054157516,1.250553492,0.855291094,0.755443431,1,1.181115653,1.211833874,,1.359912914,,1.096774194,1,0.8125,0.695058256,0.374909751,0.461427387,1.16,1.172413793,1.25,0.833333333,,,,,,,,,,,,
EUROL,BR017-101,tenvsfive,1,2,1.021348536,0.873498188,1.31108795,1.094395121,1.166783324,1.074060646,1.166202087,0.974392596,0.878586212,1,0.999762658,0.932106588,,-2.986720751,,1.032258065,1.243243243,2.142857143,0.744293646,1.632475783,0.761822032,1,1.0625,1.4,1.25,,,,,,,,,,,,
EUROL,BR017-101,tenvsfive,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesira,BR017-102,tenvsfive,1,1,1.000018291,,,,,,,,,,,,,1.000515181,,1,,,,,,1,1,1,1,,,,,,,,,,,,
Lesira,BR017-102,tenvsfive,1,2,1.00001836,1.264987729,0.930232558,1.000059683,0.828793397,0.980607276,0.707363994,1.074476881,1.483647989,1.044520548,1.000028212,0.999999643,,-0.486148966,,1.074074074,1,0.904761905,1.431994362,1.278713829,1.413315285,1.25,1,0.444444444,0.571428571,,,,,,,,,,,,
Lesira,BR017-102,tenvsfive,2,3,1.012149218,,,,,,,,,,,,,1.375633234,,1.04,,,,,,1,1,1,1.142857143,,,,,,,,,,,,
LICROWN_X_EXPRESS_DH_LINE,BR017-105,tenvsfive,1,1,1.011635846,,,,,,,,,,,,,-0.297931337,,1.107142857,,,,,,1.25,1.074074074,0.571428571,0.75,,,,,,,,,,,,
LICROWN_X_EXPRESS_DH_LINE,BR017-105,tenvsfive,1,2,1.000003751,,,,,,,,,,,,,-0.467241373,,1,,,,,,1.25,1.074074074,0.571428571,0.375,,,,,,,,,,,,
LICROWN_X_EXPRESS_DH_LINE,BR017-105,tenvsfive,2,3,1.011567487,,,,,,,,,,,,,0.632843951,,1,,,,,,1.1,1,0.714285714,0.666666667,,,,,,,,,,,,
SHANNON_x_WINNER_DH_LINE,BR017-106,tenvsfive,1,1,1.011774518,,,,,,,,,,,,,1.48507848,,0.903225806,,,,,,1,1,1,0.727272727,,,,,,,,,,,,
SHANNON_x_WINNER_DH_LINE,BR017-106,tenvsfive,1,2,1.01185326,,,,,,,,,,,,,0.715051171,,0.928571429,,,,,,1.111111111,0.931034483,0.636363636,0.6,,,,,,,,,,,,
SHANNON_x_WINNER_DH_LINE,BR017-106,tenvsfive,2,3,1.012032861,,,,,,,,,,,,,-0.364295575,,,,,,,,0.909090909,,,,,,,,,,,,,,,
Janetzkis_Schlesischer,BR017-107,tenvsfive,1,1,1.137852196,1.01896769,0.774726681,1.337143548,0.740800761,0.779986026,0.836095785,0.841264219,0.877424953,0.837955411,1.019182129,0.643788843,,1.970880655,,1.258064516,1.617647059,4.25,0.604249668,2.098872507,0.493852355,1.454545455,1.344827586,1,0.777777778,,,,,,,,,,,,
Janetzkis_Schlesischer,BR017-107,tenvsfive,1,2,1.133615847,0.984898555,0.96784221,1.242363876,0.778832989,0.729910582,0.806162823,0.844084671,0.910655875,0.898314301,1.02057639,0.667085475,,-1.874792362,,1.285714286,1.173913043,1,0.464689546,0.393178314,0.393178314,1.28,1.24137931,1,1.333333333,,,,,,,,,,,,
Janetzkis_Schlesischer,BR017-107,tenvsfive,2,3,1.104052916,0.843570461,0.870872645,1.336183,0.968820104,1.086747169,0.997214643,0.73229167,0.814991726,0.834692768,1.017045382,0.740190037,,-0.71032824,,1.285714286,1,0.714285714,0.358787198,0.240739552,0.337035373,1.28,1.24137931,1,1.333333333,,,,,,,,,,,,
LEMBKES_MALCHOWER_LENORA,BR017-108,tenvsfive,1,1,1.298550717,0.705778109,0.603248007,1.792403118,0.959394982,0.929704338,0.926914331,0.658263045,0.715586045,0.7302882,1.489520709,0.982871791,,5.282699704,,1.617647059,1.717948718,2.166666667,0.252844501,0.42020336,0.193940012,1.777777778,1.78125,1.8,1,,,,,,,,,,,,
LEMBKES_MALCHOWER_LENORA,BR017-108,tenvsfive,1,2,1.084833694,0.779800826,0.486142192,1.650474398,0.855012146,1.696839842,0.98987937,0.360375562,0.661349975,0.715062534,1.165873431,1.083695257,,-3.088418971,,1.5,1.109090909,0.4,0.353325416,0.120894484,0.30223621,1.4375,1.470588235,2,2,,,,,,,,,,,,
LEMBKES_MALCHOWER_LENORA,BR017-108,tenvsfive,2,3,1.163535656,0.494539508,0.616516727,1.787530422,2.143327193,3.895788193,2.456269196,0.281960633,0.434861835,1.02852349,1.700453216,2.043146356,,-2.393383505,,1.806451613,1.564102564,0.666666667,0.437623461,0.251126926,0.376690389,1.777777778,1.65625,1,2,,,,,,,,,,,,
NORIN,BR017-109,tenvsfive,1,1,1.063085048,1.201137032,0.780403148,1.210206416,0.480235132,0.547310801,0.546740904,0.815944691,1.00566096,0.677382967,0.983428872,0.707849302,,48.69556758,,1.054054054,0.836363636,0.421052632,0.407777536,0.154231418,0.366299618,1.0625,1.083333333,1.25,1,,,,,,,,,,,,
NORIN,BR017-109,tenvsfive,1,2,1.111727249,1.423590133,,,0.720778373,0.687943627,0.733167635,1.477092632,1.396639589,1.034308211,0.811078175,0.499430994,,-7.638620047,,1.193548387,2,5.428571429,0.470140416,1.856404763,0.341969299,1.185185185,1.125,0.8,1.25,,,,,,,,,,,,
NORIN,BR017-109,tenvsfive,2,3,1.054043264,0.875052864,0.857315439,1.151793546,1.13847276,1.408808325,1.319601317,0.703789015,0.754190021,1,1.048421951,0.912502956,,0.976564457,,1.129032258,1.615384615,3.222222222,0.319456694,1.034219299,0.32096461,1.185185185,1.125,0.8,0.75,,,,,,,,,,,,
Samourai,BR017-113,tenvsfive,1,1,1.00000376,,,,,,,,,,,,,0.373533292,,,,,,,,1.1,,,,,,,,,,,,,,,
Samourai,BR017-113,tenvsfive,1,2,0.965328363,,,,,,,,,,,,,0.089268506,,0.928571429,,,,,,1.111111111,1,0.777777778,0.6,,,,,,,,,,,,
Samourai,BR017-113,tenvsfive,2,3,1.011735042,,,,,,,,,,,,,-1.151861021,,1.12,,,,,,1.25,1,0.285714286,0.6,,,,,,,,,,,,
Baltia,BR017-133,tenvsfive,1,1,1.034974314,0.983717129,0.949484848,1.190999915,0.990207358,1.03547028,1.02517002,0.912543827,0.943904164,1,1.162611012,1.193769462,,-0.277478701,,1.032258065,1.277777778,2.5,0.813723334,1.677479835,0.670991934,1.35,1.103448276,0.555555556,0.454545455,,,,,,,,,,,,
